;N°;CODIGO;MZ;LOTE;ETAPA;AREA;UBICACIÓN;PRECIO LISTA;DSCTO POR PRE-VENTA;PRECIO FINAL;INICIAL;;;;;;;;;;;;;;;;
;126;M18;M;18;3;200;ESQUINA;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;127;N1;N;1;3;200;ESQUINA;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;128;N2;N;2;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;129;N3;N;3;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;130;N4;N;4;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;131;N5;N;5;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;132;N6;N;6;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;133;N7;N;7;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;134;N8;N;8;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;135;N9;N;9;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;136;N10;N;10;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;137;N11;N;11;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;138;N12;N;12;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;139;N13;N;13;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;140;N14;N;14;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;141;N15;N;15;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;142;N16;N;16;3;202.44;ESQ. FRENTE A PARQUE;S/ 37,390.40;S/ 5,000.00;S/ 32,390.40;S/ 2,000.00;;;;;;;;;;;;;;;;
;143;N17;N;17;3;200.03;FRENTE PARQUE;S/ 32,004.05;S/ 5,000.00;S/ 27,004.05;S/ 2,000.00;;;;;;;;;;;;;;;;
;144;N18;N;18;3;200.03;FRENTE PARQUE;S/ 32,004.05;S/ 5,000.00;S/ 27,004.05;S/ 2,000.00;;;;;;;;;;;;;;;;
;145;N19;N;19;3;200.03;FRENTE PARQUE;S/ 32,004.05;S/ 5,000.00;S/ 27,004.05;S/ 2,000.00;;;;;;;;;;;;;;;;
